mies;rok;pepsi;fanta ;żywiec;okocim;regionalne;cola;lech
1;2001;108447;43302;186385;54301;45065;227013;56306
2;2001;105439;46711;168782;68131;43933;221115;67212
3;2001;111675;36029;172186;63104;46663;222812;67398
4;2001;113232;33659;172445;50871;45195;238631;57100
5;2001;110274;40853;174526;67924;47926;222963;65001
6;2001;114177;43089;188616;59253;42821;226125;55430
7;2001;110027;40397;182139;49814;41719;215949;58698
8;2001;109724;39423;167614;65312;45433;242789;66095
9;2001;114913;45219;174655;63862;45392;234887;65585
10;2001;122887;39214;175841;65773;47166;235439;69146
11;2001;109550;41812;173598;67266;47794;254776;64989
12;2001;105931;39284;174784;56968;50156;220329;53499
1;2002;112458;41099;175107;61872;44736;220162;62970
2;2002;111619;43253;175424;64538;45132;239603;55364
3;2002;114803;47815;170974;55583;45488;222832;56760
4;2002;111078;42481;181144;55006;46421;224712;63948
5;2002;104769;39970;183690;64275;43297;216155;64097
6;2002;108329;47025;181971;65245;46381;211635;66750
7;2002;112722;37813;176429;64606;45224;224116;66917
8;2002;101713;38397;167607;58997;47455;228195;55213
9;2002;119793;52707;180510;63856;43546;217487;69320
10;2002;112146;35909;171555;57139;43952;231018;64999
11;2002;105463;40695;166309;54567;44871;223432;53807
12;2002;115920;47975;180788;62412;46029;220116;55337
1;2003;114364;53021;179459;63319;48185;231328;68865
2;2003;118944;49752;173941;50136;48216;215846;66635
3;2003;107473;38472;172872;58838;46905;219933;57659
4;2003;101725;41504;178947;58349;47323;229530;56068
5;2003;110447;47858;180154;55834;48236;222460;60694
6;2003;114505;41912;183941;67170;47665;224713;59902
7;2003;110733;40978;181719;57003;46867;221396;64287
8;2003;112600;50533;170359;67320;46653;227864;53749
9;2003;111112;45801;172651;60145;42723;225921;64065
10;2003;112389;49270;175357;68097;43852;231289;60011
11;2003;120475;44693;177627;61350;45438;216422;58504
12;2003;114267;39299;179694;68513;43723;218470;60180
1;2004;107402;48828;175772;51096;47141;207707;61294
2;2004;119382;48800;180899;59482;45922;215986;61725
3;2004;118061;41016;174648;57496;47513;224682;55429
4;2004;112353;43692;179098;56161;45519;210792;58757
5;2004;117135;43621;182615;60523;44190;220876;52300
6;2004;115933;47201;176104;59351;44732;206829;63281
7;2004;107189;45261;180329;66556;48088;228943;63847
8;2004;102909;34063;172148;61412;48861;222242;50721
9;2004;110877;49870;178348;62108;41505;225017;64195
10;2004;110466;42922;179364;58124;44799;224081;57534
11;2004;104680;43556;174112;63330;48553;232986;73355
12;2004;105445;44935;180011;63360;44757;222372;54346
1;2005;121836;35583;180921;62257;47423;231576;58038
2;2005;114950;51545;180542;57568;49042;225165;62425
3;2005;115475;39118;181930;57402;49481;237050;58167
4;2005;120965;34529;169143;59098;44243;203275;59395
5;2005;110154;36075;179687;62884;48430;223048;56418
6;2005;112074;44296;186045;62480;45178;214067;61955
7;2005;116383;43489;180449;59220;48793;220713;59282
8;2005;114416;42553;184677;56396;50247;232829;62879
9;2005;109001;43149;179799;57214;49464;221039;72302
10;2005;107251;35945;181766;58284;50273;232867;61334
11;2005;112865;50292;173474;62692;44725;237910;59826
12;2005;96794;42662;175026;47383;49763;243912;60587
1;2006;105432;41595;179766;61896;48684;226583;60489
2;2006;115820;50822;183538;67701;53108;238314;58611
3;2006;117292;51627;175509;58403;46296;227995;60698
4;2006;110948;38413;174235;56809;49126;225074;68070
5;2006;107981;41796;177846;53044;46985;229658;58822
6;2006;111316;38205;180129;60222;44048;220547;64858
7;2006;121775;42080;169238;62484;48472;220014;65516
8;2006;115196;48188;175383;63390;45833;219626;68131
9;2006;110102;43465;171543;69797;43962;233981;57235
10;2006;104217;41329;180876;64745;43589;244929;62449
11;2006;109226;49641;176139;63552;48076;230840;65207
12;2006;120689;42596;175672;63884;42553;231503;62798
1;2007;111049;38775;175857;61916;46685;228563;62940
2;2007;109963;40119;169692;59550;48481;223134;59212
